On_base_percentage,Slugging_percentage,Batting_average,Playoffs,Opponent_on_base_percentage,Opponent_slugging_percentage
0.35,0.436,0.267,1,0.322,0.399
0.34,0.434,0.277,1,0.321,0.396
0.358,0.447,0.28,1,0.323,0.39
0.331,0.407,0.265,0,0.324,0.418
0.326,0.432,0.266,0,0.353,0.449
0.309,0.368,0.244,0,0.338,0.409
0.338,0.417,0.262,0,0.33,0.41
0.34,0.42,0.266,0,0.331,0.397
0.313,0.402,0.253,0,0.313,0.388
0.314,0.42,0.255,0,0.358,0.452
0.348,0.472,0.288,0,0.384,0.499
0.343,0.428,0.268,1,0.322,0.407
0.344,0.445,0.267,0,0.359,0.47
0.327,0.417,0.254,1,0.314,0.376
0.332,0.421,0.256,0,0.345,0.455
0.314,0.374,0.247,0,0.345,0.438
0.317,0.396,0.25,0,0.323,0.413
0.354,0.443,0.278,1,0.316,0.395
0.333,0.388,0.261,0,0.341,0.437
0.317,0.391,0.256,0,0.332,0.422
0.318,0.404,0.246,0,0.338,0.435
0.317,0.374,0.252,0,0.31,0.364
0.322,0.408,0.256,1,0.308,0.389
0.362,0.444,0.279,1,0.314,0.392
0.335,0.391,0.264,0,0.332,0.411
0.317,0.4,0.255,0,0.306,0.407
0.342,0.427,0.271,0,0.329,0.405
0.32,0.409,0.26,0,0.357,0.461
0.32,0.388,0.258,0,0.345,0.452
0.333,0.429,0.265,0,0.326,0.424
0.343,0.455,0.269,0,0.368,0.454
0.36,0.472,0.282,1,0.318,0.408
0.324,0.419,0.262,0,0.341,0.455
0.333,0.391,0.257,1,0.322,0.408
0.331,0.418,0.25,0,0.348,0.481
0.329,0.456,0.262,0,0.333,0.422
0.327,0.434,0.269,0,0.336,0.416
0.323,0.427,0.265,0,0.342,0.418
0.308,0.387,0.243,0,0.31,0.361
0.343,0.438,0.275,0,0.34,0.443
0.322,0.416,0.258,0,0.321,0.387
0.311,0.39,0.248,0,0.327,0.403
0.322,0.4,0.259,0,0.344,0.424
0.332,0.415,0.263,1,0.319,0.386
0.317,0.413,0.249,0,0.328,0.419
0.32,0.403,0.258,0,0.362,0.454
0.347,0.425,0.287,1,0.312,0.423
0.339,0.441,0.27,1,0.328,0.428
0.32,0.389,0.247,1,0.306,0.378
0.342,0.414,0.273,0,0.318,0.431
0.331,0.409,0.262,0,0.348,0.429
0.34,0.422,0.26,1,0.314,0.4
0.32,0.401,0.257,0,0.334,0.398
0.345,0.408,0.27,0,0.336,0.423
0.36,0.445,0.288,1,0.301,0.378
0.303,0.368,0.243,0,0.306,0.354
0.361,0.477,0.278,0,0.353,0.476
0.341,0.433,0.27,0,0.346,0.438
0.321,0.408,0.257,1,0.313,0.37
0.352,0.446,0.283,0,0.369,0.475
0.363,0.434,0.279,1,0.331,0.418
0.343,0.441,0.261,1,0.328,0.405
0.329,0.414,0.26,0,0.329,0.424
0.351,0.444,0.276,0,0.342,0.445
0.316,0.413,0.257,0,0.341,0.46
0.347,0.447,0.267,0,0.339,0.46
0.337,0.423,0.274,0,0.349,0.466
0.319,0.38,0.247,0,0.319,0.398
0.344,0.442,0.267,1,0.319,0.372
0.325,0.411,0.263,0,0.352,0.447
0.332,0.416,0.263,1,0.312,0.404
0.345,0.417,0.284,1,0.328,0.412
0.341,0.435,0.272,0,0.352,0.449
0.329,0.42,0.257,0,0.346,0.467
0.335,0.436,0.267,0,0.343,0.456
0.323,0.387,0.249,0,0.314,0.419
0.327,0.419,0.259,0,0.315,0.391
0.337,0.425,0.287,0,0.349,0.431
0.318,0.388,0.247,0,0.316,0.401
0.344,0.471,0.275,0,0.362,0.494
0.321,0.408,0.247,0,0.345,0.45
0.325,0.437,0.259,0,0.326,0.414
0.345,0.443,0.267,0,0.33,0.448
0.35,0.419,0.275,0,0.315,0.41
0.356,0.47,0.286,1,0.346,0.434
0.341,0.429,0.282,1,0.326,0.415
0.345,0.439,0.264,1,0.308,0.38
0.351,0.431,0.275,0,0.347,0.447
0.334,0.451,0.268,0,0.334,0.427
0.33,0.391,0.264,0,0.324,0.431
0.326,0.408,0.256,0,0.325,0.415
0.35,0.448,0.278,1,0.315,0.398
0.324,0.422,0.259,0,0.337,0.415
0.322,0.388,0.261,0,0.339,0.445
0.334,0.418,0.261,0,0.329,0.421
0.338,0.446,0.278,0,0.341,0.424
0.309,0.389,0.257,0,0.314,0.372
0.337,0.431,0.269,1,0.337,0.443
0.336,0.448,0.267,0,0.364,0.442
0.355,0.42,0.267,1,0.326,0.397
0.345,0.444,0.277,0,0.308,0.385
0.303,0.362,0.247,0,0.33,0.402
0.312,0.454,0.248,0,0.326,0.405
0.33,0.417,0.263,0,0.322,0.388
0.34,0.416,0.268,0,0.333,0.408
0.343,0.433,0.27,0,0.332,0.409
0.339,0.446,0.261,0,0.352,0.483
0.35,0.433,0.281,0,0.332,0.431
0.3,0.375,0.24,0,0.352,0.461
0.353,0.458,0.268,1,0.328,0.432
0.322,0.375,0.257,0,0.31,0.371
0.341,0.431,0.257,0,0.332,0.407
0.321,0.403,0.254,0,0.331,0.398
0.332,0.409,0.255,0,0.319,0.421
0.321,0.381,0.253,0,0.346,0.442
0.348,0.423,0.27,0,0.32,0.426
0.296,0.369,0.234,0,0.308,0.394
0.318,0.39,0.25,0,0.33,0.41
0.325,0.409,0.27,1,0.312,0.401
0.321,0.401,0.26,0,0.342,0.416
0.329,0.406,0.264,0,0.324,0.412
0.323,0.398,0.256,0,0.349,0.464
0.338,0.425,0.268,1,0.323,0.386
0.328,0.403,0.26,0,0.348,0.434
0.335,0.411,0.256,0,0.348,0.452
0.361,0.442,0.269,1,0.339,0.416
0.326,0.423,0.264,0,0.338,0.411
0.333,0.412,0.272,0,0.354,0.412
0.332,0.433,0.274,0,0.31,0.403
0.367,0.47,0.288,0,0.35,0.425
0.317,0.394,0.24,0,0.294,0.352
