League,On_base_percentage,Slugging_percentage,Batting_average,Opponent_on_base_percentage,Opponent_slugging_percentage,Win_percentage,decade60s,decade70s,decade80s,decade90s,decade2000s,decade2010s
1,0.328,0.418,0.259,0.317,0.415,0.5,0,0,0,0,0,1
1,0.32,0.389,0.247,0.306,0.378,0.5802469135802469,0,0,0,0,0,1
0,0.311,0.417,0.247,0.315,0.403,0.5740740740740741,0,0,0,0,0,1
0,0.315,0.415,0.26,0.331,0.428,0.42592592592592593,0,0,0,0,0,1
1,0.302,0.378,0.24,0.335,0.424,0.3765432098765432,0,0,0,0,0,1
0,0.318,0.422,0.255,0.319,0.405,0.5246913580246914,0,0,0,0,0,1
1,0.315,0.411,0.251,0.305,0.39,0.5987654320987654,0,0,0,0,0,1
0,0.324,0.381,0.251,0.336,0.43,0.41975308641975306,0,0,0,0,0,1
1,0.33,0.436,0.274,0.357,0.47,0.3950617283950617,0,0,0,0,0,1
0,0.335,0.422,0.268,0.314,0.402,0.5432098765432098,0,0,0,0,0,1
1,0.302,0.371,0.236,0.337,0.427,0.3395061728395062,0,0,0,0,0,1
0,0.317,0.4,0.265,0.339,0.423,0.4444444444444444,0,0,0,0,0,1
0,0.332,0.433,0.274,0.31,0.403,0.5493827160493827,0,0,0,0,0,1
1,0.317,0.374,0.252,0.31,0.364,0.5308641975308642,0,0,0,0,0,1
1,0.308,0.382,0.244,0.327,0.399,0.42592592592592593,0,0,0,0,0,1
1,0.325,0.437,0.259,0.326,0.414,0.5123456790123457,0,0,0,0,0,1
0,0.325,0.39,0.26,0.333,0.442,0.4074074074074074,0,0,0,0,0,1
1,0.316,0.386,0.249,0.315,0.401,0.4567901234567901,0,0,0,0,0,1
0,0.337,0.453,0.265,0.311,0.419,0.5864197530864198,0,0,0,0,0,1
0,0.31,0.404,0.238,0.306,0.378,0.5802469135802469,0,0,0,0,0,1
1,0.317,0.4,0.255,0.306,0.407,0.5,0,0,0,0,0,1
1,0.304,0.395,0.243,0.314,0.39,0.4876543209876543,0,0,0,0,0,1
1,0.319,0.38,0.247,0.319,0.398,0.4691358024691358,0,0,0,0,0,1
0,0.296,0.369,0.234,0.308,0.394,0.46296296296296297,0,0,0,0,0,1
1,0.327,0.397,0.269,0.313,0.393,0.5802469135802469,0,0,0,0,0,1
1,0.338,0.421,0.271,0.313,0.387,0.5432098765432098,0,0,0,0,0,1
0,0.317,0.394,0.24,0.294,0.352,0.5555555555555556,0,0,0,0,0,1
0,0.334,0.446,0.273,0.309,0.408,0.5740740740740741,0,0,0,0,0,1
0,0.309,0.407,0.245,0.335,0.438,0.4506172839506173,0,0,0,0,0,1
1,0.322,0.428,0.261,0.303,0.373,0.6049382716049383,0,0,0,0,0,1
1,0.322,0.413,0.25,0.316,0.409,0.5802469135802469,0,0,0,0,0,1
1,0.308,0.387,0.243,0.31,0.361,0.5493827160493827,0,0,0,0,0,1
